Band;Band1 <-[e]s, Bänder> [bant, Pl ˈbɛndɐ] SUBST nt;1
Band;Band2 <-[e]s, -e> [bant, Pl ˈbandə] SUBST nt geh;1
Bank;Bank1 <-, Bänke> [baŋk] SUBST f;1
Bank;Bank2 <-, -en> [baŋk] SUBST f;1
Bar;Bar <-, -s> [ba:ɐ̯] SUBST f;1
Barriere;Bar·ri·e·re <-, -n> [baˈri̯e:rə] SUBST f a. übtr;3
Bart;Bart <-[e]s, Bärte> [ba:ɐ̯t, Pl ˈbɛ:ɐ̯tə] SUBST m;1
Bauer;Bau·er <-n, -n> [ˈbauɐ] SUBST m;1
Baum;Baum <-[e]s, Bäume> [baum, Pl ˈbɔymə] SUBST m;1
Behörde;Be·hör·de <-, -n> [bəˈhø:ɐ̯də] SUBST f;2
Bein;Bein <-[e]s, -e> [bain] SUBST nt;1
Beispiel;Bei·spiel <-[e]s, -e> [ˈbaiʃpi:l] SUBST nt;1
Beitrag;Bei·trag <-[e]s, Beiträge> [ˈbaitra:k, Pl ˈbaitrɛ:gə] SUBST m;1
Bereich;Be·reich <-[e]s, -e> [bəˈraɪ̯ç] SUBST m;2
Bereitschaft;Be·reit·schaft <-, -en> [bəˈraitʃaft] SUBST f;2
Berg;Berg <-[e]s, -e> [bɛrk] SUBST m;1
Bericht;Be·richt <-[e]s, -e> [bəˈrɪçt] SUBST m;2
Beruf;Be·ruf <-[e]s, -e> [bəˈru:f] SUBST m;2
Besuch;Be·such <-[e]s, -e> [bəˈzu:x] SUBST m;2
Betrag;Be·trag <-[e]s, Beträge> [bəˈtra:k, Pl bəˈtrɛ:gə] SUBST m (Geldbetrag);2
Bett;Bett <-[e]s, -en> [bɛt] SUBST nt;1
Beule;Beu·le <-, -n> [ˈbɔylə] SUBST f;1
Beweis;Be·weis <-es, -e> [bəˈvais] SUBST m;2
Bibliothek;Bi·bli·o·thek <-, -en> [biblioˈte:k] SUBST f;4
Biene;Bie·ne <-, -n> [ˈbi:nə] SUBST f;1
Bier;Bier <-[e]s, -e> [bi:ɐ̯] SUBST nt;1
Bieter;Bie·ter(in) <-s, -> [ˈbiːtɐ] SUBST m(f);1
Bilanz;Bi·lanz <-, -en> [biˈlants] SUBST f;2
Bild;Bild <-[e]s, -er> [bɪlt, Pl ˈbɪldɐ] SUBST nt;1
Birne;Bir·ne <-, -n> [ˈbɪrnə] SUBST f;1
Bischof;Bi·schof (Bi·schö·fin) <-s, Bischöfe> [ˈbɪʃɔf, ˈbɪʃo:fɪn, Pl ˈbɪʃœfə] SUBST m (f);1
Blase;Bla·se <-, -n> [ˈbla:zə] SUBST f;1
Blatt;Blatt <-[e]s, Blätter> [blat, Pl ˈblɛtɐ] SUBST nt;1
Blick;Blick <-[e]s, -e> [blɪk] SUBST m;1
Blitz;Blitz <-es, -e> [blɪts] SUBST m;1
Blume;Blu·me <-, -n> [ˈblu:mə] SUBST f;1
Boden;Bo·den <-s, Böden> [ˈbo:dn̩, Pl bø:dn̩] SUBST m;1
Boot;Boot <-[e]s, -e> [bo:t] SUBST nt;1
Börse;Bör·se <-, -n> [ˈbœrzə] SUBST f;1
Bote;Bo·te (Bo·tin) <-n, -n> [ˈbo:tə, ˈbo:tɪn] SUBST m (f);1
Box;Box <-, -en> [bɔks] SUBST f;1
Branche;Bran·che <-, -n> [ˈbrã:ʃə] SUBST f;1
Brand;Brand <-[e]s, Brände> [brant, Pl ˈbrɛndə] SUBST m;1
Brauch;Brauch <-[e]s, Bräuche> [braux, Pl ˈbrɔyçə] SUBST m;1
Bräutigam;Bräu·ti·gam <-s, -e> [ˈbrɔytɪgam, ˈbrɔyti-] SUBST m;1
Brief;Brief <-[e]s, -e> [bri:f] SUBST m;1
Brille;Bril·le <-, -n> [ˈbrɪlə] SUBST f;1
Bruch;Bruch <-[e]s, Brüche> [brʊx, Pl ˈbry:çə] SUBST m;1
Brücke;Brü·cke <-, -n> [ˈbrʏkə] SUBST f;1
